station_id,name,image_date,satellite,Blue,Green,Red,NIR,SWIR1,SWIR2,RedEdge1,RedEdge2,RedEdge3,NDVI,NDWI,MNDWI,NDTI,FAI,EVI
SRB00005,Banatska Palanka,2013-04-118,L8,0.033831415041464266,0.06179347148555723,0.050927769632270456,0.04890404809733306,0.03586267006095112,0.02404086087136774,-9999,-9999,-9999,-0.37626006192361905,0.44846893590052733,0.57608785180419,-0.10785665798084944,0.004002318293590155,-0.01442255921330345
SRB00006,Tekija,2013-04-118,L8,0.04605027054332421,0.07284137672900139,0.061033002734153415,0.04760184841320664,0.02739773062357567,0.01827189734717277,-9999,-9999,-9999,-0.2844995695767059,0.3591459192198396,0.5858763801018996,-0.09399163708047491,2.2954523283739047E-5,-0.039701997609317974
SRB00001,Bezdan,2013-05-123,L8,0.030190448987493193,0.06210589992598555,0.04636472445512892,0.19795868923099197,0.08683623362721196,0.044885302483994236,-9999,-9999,-9999,0.3804061998430914,-0.27885717367138063,0.04158211744390251,-0.16462697223776748,0.13540536110702814,0.2705859206530991
SRB00005,Banatska Palanka,2013-05-125,L8,0.04770712179392014,0.07224824233629108,0.06245841645794927,0.08063427122196257,0.04937264302340193,0.03191946936822426,-9999,-9999,-9999,-0.03257820756555738,0.10779178157261486,0.3598573486579779,-0.07947006621180931,0.023410164137831375,0.026884444530533586
SRB00005,Banatska Palanka,2013-05-134,L8,0.03753483498420238,0.06461807221614631,0.05073338637897285,0.12346101483842907,0.08138570024575525,0.0519748431933,-9999,-9999,-9999,-0.11070907740545413,0.19319842244640525,0.3159413627584933,-0.17214532625027348,0.06046670291274313,0.12006745554691986
SRB00006,Tekija,2013-05-134,L8,0.03555510547482234,0.06383515116266297,0.04917862791768165,0.047487017721092914,0.03153222606591195,0.024099622148472447,-9999,-9999,-9999,-0.22183772040653396,0.3322469003764445,0.4152619353632724,-0.1339450814563773,0.005366950544119468,-0.013366628842881262
SRB00001,Bezdan,2013-05-139,L8,0.04333860902338569,0.08072590327874662,0.06895438352699061,0.22678295616345232,0.10793220440559223,0.06290541347616202,-9999,-9999,-9999,0.4362930504118004,-0.3788589695538451,-0.09442038517976377,-0.09301168036116891,0.14223744428501792,0.2818942139509074
SRB00040,Bogojevo,2013-05-139,L8,0.04090299923746186,0.07918035174773355,0.07036859116376644,0.17188453633427844,0.0849862820075892,0.052424545965420136,-9999,-9999,-9999,0.3635064100330259,-0.31475506883683835,-0.02339176403381171,-0.06704077181095974,0.09566886883298184,0.18930909014061184
SRB00002,Novi Sad,2013-05-141,L8,0.05609702161942239,0.08494700444487939,0.0859433640758637,0.23932202351705692,0.1813751770953812,0.13670652190841853,-9999,-9999,-9999,0.3571311472498666,-0.34922328920794693,-0.22621070903569793,-0.02003912107584312,0.11520593423338847,0.27461344674642124
SRB00003,Zemun,2013-05-141,L8,0.0469392926078077,0.07763046614167662,0.07245427583991201,0.06749026931590243,0.053140403858753495,0.04313898331558363,-9999,-9999,-9999,-0.30300414624362587,0.33743762549583484,0.52326653353491,-0.05268286426730638,0.0027615422684532554,-0.023107333131639967
