Station_ID,Station_Name,Date,river_discharge_m3s
SRB00001,Bezdan,2013-05-13,4851.89
SRB00001,Bezdan,2013-05-14,5104.05
SRB00001,Bezdan,2013-05-15,5332.35
SRB00001,Bezdan,2013-05-16,5283.45
SRB00001,Bezdan,2013-05-17,5045.61
SRB00001,Bezdan,2013-05-18,4763.31
SRB00001,Bezdan,2013-05-19,4496.8
SRB00001,Bezdan,2013-05-20,4294.36
SRB00001,Bezdan,2013-05-21,4148.54
SRB00001,Bezdan,2013-05-22,4063.43
SRB00001,Bezdan,2013-05-23,3989.25
SRB00001,Bezdan,2013-05-24,3925.45
SRB00001,Bezdan,2013-05-25,3871.58
SRB00001,Bezdan,2013-05-26,3871.58
SRB00001,Bezdan,2013-05-27,3916.42
SRB00001,Bezdan,2013-05-28,3934.5
SRB00001,Bezdan,2013-05-29,3952.67
SRB00001,Bezdan,2013-05-30,4026.17
SRB00001,Bezdan,2013-05-31,4158.11
SRB00001,Bezdan,2013-06-01,4304.27
SRB00001,Bezdan,2013-06-02,4697.94
SRB00001,Bezdan,2013-06-03,6236.35
SRB00001,Bezdan,2013-06-04,8628.79
SRB00001,Bezdan,2013-06-05,9461.37
SRB00001,Bezdan,2013-06-06,9353.06
SRB00001,Bezdan,2013-06-07,10184.91
SRB00001,Bezdan,2013-06-08,10689.54
SRB00001,Bezdan,2013-06-09,9839.11
SRB00001,Bezdan,2013-06-10,8728.71
SRB00001,Bezdan,2013-06-11,7779.37
SRB00001,Bezdan,2013-06-12,7094.78
SRB00001,Bezdan,2013-06-13,6713.29
SRB00001,Bezdan,2013-06-14,6560.45
SRB00001,Bezdan,2013-06-15,6381.64
SRB00001,Bezdan,2013-06-16,6108.42
SRB00001,Bezdan,2013-06-17,5860.38
SRB00001,Bezdan,2013-06-18,5726.96
SRB00001,Bezdan,2013-06-19,5635.38
SRB00001,Bezdan,2013-06-20,5481.77
SRB00001,Bezdan,2013-06-21,5259.17
SRB00001,Bezdan,2013-06-22,5022.43
