station_id,name,image_date,satellite,Blue,Green,Red,NIR,SWIR1,SWIR2,RedEdge1,RedEdge2,RedEdge3,NDVI,NDWI,MNDWI,NDTI,FAI,EVI
SRB00005,Banatska Palanka,2013-04-28,L8,0.0338314150414642,0.0617934714855572,0.0509277696322704,0.048904048097333,0.0358626700609511,0.0240408608713677,,,,-0.376260061923619,0.4484689359005273,0.57608785180419,-0.1078566579808494,0.0040023182935901,-0.0144225592133034
SRB00006,Tekija,2013-04-28,L8,0.0460502705433242,0.0728413767290013,0.0610330027341534,0.0476018484132066,0.0273977306235756,0.0182718973471727,,,,-0.2844995695767059,0.3591459192198396,0.5858763801018996,-0.0939916370804749,2.2954523283739047e-05,-0.0397019976093179
SRB00001,Bezdan,2013-05-03,L8,0.0301904489874931,0.0621058999259855,0.0463647244551289,0.1979586892309919,0.0868362336272119,0.0448853024839942,,,,0.3804061998430914,-0.2788571736713806,0.0415821174439025,-0.1646269722377674,0.1354053611070281,0.2705859206530991
SRB00005,Banatska Palanka,2013-05-05,L8,0.0477071217939201,0.072248242336291,0.0624584164579492,0.0806342712219625,0.0493726430234019,0.0319194693682242,,,,-0.0325782075655573,0.1077917815726148,0.3598573486579779,-0.0794700662118093,0.0234101641378313,0.0268844445305335
SRB00005,Banatska Palanka,2013-05-14,L8,0.0375348349842023,0.0646180722161463,0.0507333863789728,0.123461014838429,0.0813857002457552,0.0519748431933,,,,-0.1107090774054541,0.1931984224464052,0.3159413627584933,-0.1721453262502734,0.0604667029127431,0.1200674555469198
SRB00006,Tekija,2013-05-14,L8,0.0355551054748223,0.0638351511626629,0.0491786279176816,0.0474870177210929,0.0315322260659119,0.0240996221484724,,,,-0.2218377204065339,0.3322469003764445,0.4152619353632724,-0.1339450814563773,0.0053669505441194,-0.0133666288428812
SRB00001,Bezdan,2013-05-19,L8,0.0433386090233856,0.0807259032787466,0.0689543835269906,0.2267829561634523,0.1079322044055922,0.062905413476162,,,,0.4362930504118004,-0.3788589695538451,-0.0944203851797637,-0.0930116803611689,0.1422374442850179,0.2818942139509074
SRB00040,Bogojevo,2013-05-19,L8,0.0409029992374618,0.0791803517477335,0.0703685911637664,0.1718845363342784,0.0849862820075892,0.0524245459654201,,,,0.3635064100330259,-0.3147550688368383,-0.0233917640338117,-0.0670407718109597,0.0956688688329818,0.1893090901406118
SRB00002,Novi Sad,2013-05-21,L8,0.0560970216194223,0.0849470044448793,0.0859433640758637,0.2393220235170569,0.1813751770953812,0.1367065219084185,,,,0.3571311472498666,-0.3492232892079469,-0.2262107090356979,-0.0200391210758431,0.1152059342333884,0.2746134467464212
SRB00003,Zemun,2013-05-21,L8,0.0469392926078077,0.0776304661416766,0.072454275839912,0.0674902693159024,0.0531404038587534,0.0431389833155836,,,,-0.3030041462436258,0.3374376254958348,0.52326653353491,-0.0526828642673063,0.0027615422684532,-0.0231073331316399
SRB00041,Smederevo,2013-05-21,L8,0.0407174789221493,0.067089261460596,0.0595259167248192,0.0933563124377116,0.0598928229267554,0.0397412800276023,,,,-0.1545152541425181,0.2052833710132712,0.4007130656995824,-0.0759733663270402,0.0336836332321174,0.0489248234948464
SRB00005,Banatska Palanka,2013-05-21,L8,0.0253873910151066,0.0516581314777073,0.0392354900961338,0.0508511334789846,0.0325006836189533,0.0207352822643304,,,,-0.3390105127435216,0.4470782050771398,0.5996054980207391,-0.1609896152312136,0.0143095659737225,0.0102331735887337
SRB00040,Bogojevo,2013-05-28,L8,0.0258847447179262,0.0577680357753828,0.0452700413240841,0.1290327519270047,0.0619856328970611,0.0366883045215665,,,,0.2309589718153733,-0.1318742785828996,0.1530584431593772,-0.1319154037072517,0.07707647397373,0.1556438054886673
SRB00002,Novi Sad,2013-05-28,L8,0.0423343400938177,0.0727932054435503,0.0709407553539529,0.2055725836877063,0.135555800577591,0.1003139741508753,,,,0.4115149491820325,-0.3931147977883085,-0.2082419441993263,-0.0290449996016206,0.1087858102442985,0.2469415662468342
SRB00002,Novi Sad,2013-05-28,L8,0.0441356649413283,0.0746090913585795,0.0742870156149089,0.1827507527818797,0.1291530249818399,0.0993215859515543,,,,0.3228627624231112,-0.3086619487851321,-0.1299002677612918,-0.0140681322392708,0.0865173334201982,0.1968326976530919
SRB00003,Zemun,2013-05-28,L8,0.0462420943054239,0.0756915991865609,0.0717752041611497,0.0919247611521295,0.0696011561561863,0.0567290866596486,,,,0.0434544864550062,-0.0062126079775798,0.1581112470870432,-0.0381807093810965,0.0210191761929643,0.0365964857258161
SRB00001,Bezdan,2013-06-13,L8,0.0417966884814067,0.0769906668994753,0.0671397264006642,0.1765225888487275,0.0737651964303242,0.0366363555256273,,,,0.1181191383279629,-0.0725284617780555,0.234298098627767,-0.1064227641601538,0.1067326744361989,0.1886462796488933
SRB00040,Bogojevo,2013-06-13,L8,0.0214390709910782,0.0739287752925734,0.0606664286104904,0.1403309741254045,0.0542225879283136,0.0271833668614552,,,,0.1417592811371472,-0.0708007376114402,0.266883454640078,-0.1087536839096625,0.0822420817877844,0.134807732929186
SRB00002,Novi Sad,2013-06-13,L8,0.0488086863948715,0.0833029952334882,0.0846914888505971,0.2887485399481515,0.2110187316113179,0.1463935665435298,,,,0.5334594587412393,-0.5369977263690295,-0.4282553458154711,-0.0205037209680355,0.1535261539932663,0.3591526829006315
SRB00002,Novi Sad,2013-06-13,L8,0.0516886686493372,0.0873874065648436,0.0872522487288647,0.2794198214461664,0.2004470014319289,0.1366292831693293,,,,0.5146718005461454,-0.5092945138118207,-0.3806226248909092,-0.0281183250770261,0.1468896716360734,0.3392794621989408
SRB00005,Banatska Palanka,2013-06-15,L8,0.0398210271272848,0.0701358484573824,0.0588317588217627,0.0544939812861509,0.0290450604218321,0.0179891387350943,,,,-0.4750615063702473,0.5269845392798607,0.6562817235377074,-0.1011526139730839,0.0075769018243609,-0.0246740894742967
SRB00006,Tekija,2013-06-15,L8,0.0296064479255102,0.0675534275389484,0.051539977769386,0.0267864781497733,0.01318167342911,0.0079197567312037,,,,-0.5619444393700971,0.6083289520908365,0.6878187470825459,-0.1389590334239388,-0.0094101778835022,-0.0628857300586506
SRB00001,Bezdan,2013-06-20,L8,0.0336325102998863,0.0643150321693017,0.0534577348351516,0.1683070874911848,0.0739205936383111,0.0365392998869593,,,,0.2086077740919295,-0.1471002898811905,0.1685426524370408,-0.122934912808774,0.1066642091347696,0.2048881763724727
SRB00040,Bogojevo,2013-06-20,L8,0.0247342136716389,0.0543925137278595,0.0400551153646702,0.0829040028601692,0.0356646634850229,0.0209683984507038,,,,0.0419668428821193,0.0837023830638889,0.3741299983453532,-0.1856041339965591,0.0446050682473575,0.0802156918871356
SRB00002,Novi Sad,2013-06-22,L8,0.0557932204871415,0.0835023926750271,0.0815075173481551,0.2444511844569354,0.1911606884887906,0.1345828781668956,,,,0.4278436317005399,-0.4006159149394019,-0.2572830895845227,-0.0357276539519623,0.1190823986525294,0.2958149165328501
SRB00003,Zemun,2013-06-22,L8,0.0434598624239052,0.0739821743440403,0.0650297085036505,0.0765947797461494,0.0590989107492806,0.0457007330506399,,,,-0.059420920932922,0.1456178396463433,0.4058276611501903,-0.0916359674087565,0.0139373903442462,0.0171899584605276
SRB00041,Smederevo,2013-06-22,L8,0.036272725679536,0.0654294237329226,0.056626299722365,0.10798520970761,0.0677377585402011,0.0439203939167336,,,,0.1193851796512136,-0.037565684905651,0.2600520333118402,-0.0903969690687643,0.0469143264581108,0.0922962319816008
SRB00005,Banatska Palanka,2013-06-22,L8,0.0421487557175773,0.062512817013465,0.0494393684972273,0.0785936319687513,0.0390681250194252,0.0224043397627044,,,,0.0483502017855225,0.0679350662747331,0.4466672074368798,-0.1240418992987497,0.0333027608626442,0.0538131371541114
SRB00001,Bezdan,2013-07-06,L8,0.0445948465473145,0.0681370268542199,0.0536682992327365,0.4395221355498722,0.1822383951406649,0.0916140089514066,,,,0.7818813850727613,-0.7310486782271747,-0.4558335715743262,-0.1188307002955131,0.3344257979539642,0.6766933495062898
SRB00002,Novi Sad,2013-07-08,L8,0.0593852658783873,0.0880429671934135,0.0883879082796921,0.2524973554714477,0.1918873837472706,0.136467935740532,,,,0.3623051879082959,-0.358611618008784,-0.2135227028942069,-0.016249161318962,0.1227096570047231,0.2910870573184153
SRB00003,Zemun,2013-07-08,L8,0.0422095622711147,0.0799028636356454,0.0668758526853974,0.0631190338591843,0.0274640562622744,0.0179915093844006,,,,-0.1176097817665494,0.199868290744932,0.5448316150171861,-0.0952079662465818,0.0120078997430355,-0.0111918386442432
SRB00041,Smederevo,2013-07-08,L8,0.0141167588047415,0.0365081633273366,0.0235104842047892,0.0297642145639262,0.0098945170605252,0.0066154640383492,,,,0.1025692367742252,0.1223500974293635,0.6101552928923585,-0.2231595843425026,0.0117001172168427,0.0146215168823242
