date,station_id,station_name,parameter,measured_value,unit,rolling_median,seasonal_mean,rolling_zscore,seasonal_zscore,anomaly_type,direction,river_stretch,km_from,km_to,attributed_facilities,facility_types,facility_km,mechanism
2017-09-20,SRB00003,Zemun (Belgrade),electrical_conductance,376.0,µS/cm,340.0,376.0,12.14,0.0,acute,HIGH,Novi Sad (km 1255) → Zemun (Belgrade) (km 1173),1173,1255,NIS Rafinerija Nafte Novi Sad (Novi Sad Refinery),refinery,1250,"High electrical conductance indicates elevated dissolved ion load — salts, metals, or acids from industrial discharge. Common sources: steel plant cooling water, mining drainage, chemical plant process water."
2017-09-20,SRB00041,Smederevo,electrical_conductance,395.0,µS/cm,349.0,395.0,2.59,0.0,acute,HIGH,Novi Sad (km 1255) → Zemun (Belgrade) (km 1173),1173,1255,NIS Rafinerija Nafte Novi Sad (Novi Sad Refinery),refinery,1250,"High electrical conductance indicates elevated dissolved ion load — salts, metals, or acids from industrial discharge. Common sources: steel plant cooling water, mining drainage, chemical plant process water."
2017-10-10,SRB00040,Bogojevo,electrical_conductance,387.0,µS/cm,350.0,387.0,16.64,0.0,acute,HIGH,Bezdan (km 1425) → Bogojevo (km 1367),1367,1425,None identified,,,"High electrical conductance indicates elevated dissolved ion load — salts, metals, or acids from industrial discharge. Common sources: steel plant cooling water, mining drainage, chemical plant process water."
2017-10-17,SRB00006,Tekija,electrical_conductance,405.0,µS/cm,366.0,405.0,4.38,0.0,acute,HIGH,Banatska Palanka (km 1077) → Tekija (km 931),931,1077,None identified,,,"High electrical conductance indicates elevated dissolved ion load — salts, metals, or acids from industrial discharge. Common sources: steel plant cooling water, mining drainage, chemical plant process water."
2017-12-12,SRB00040,Bogojevo,electrical_conductance,447.0,µS/cm,392.0,447.0,7.42,0.0,acute,HIGH,Bezdan (km 1425) → Bogojevo (km 1367),1367,1425,None identified,,,"High electrical conductance indicates elevated dissolved ion load — salts, metals, or acids from industrial discharge. Common sources: steel plant cooling water, mining drainage, chemical plant process water."
2017-12-19,SRB00002,Novi Sad,electrical_conductance,434.0,µS/cm,392.0,434.0,9.44,0.0,acute,HIGH,Bogojevo (km 1367) → Novi Sad (km 1255),1255,1367,None identified,,,"High electrical conductance indicates elevated dissolved ion load — salts, metals, or acids from industrial discharge. Common sources: steel plant cooling water, mining drainage, chemical plant process water."
