ActivityIdentifier,ActivityTypeCode,ActivityMediaName,ActivityMediaSubdivisionName,ActivityStartDate,ActivityStartTime/Time,ActivityStartTime/TimeZoneCode,ActivityEndDate,ActivityEndTime/Time,ActivityEndTime/TimeZoneCode,ActivityDepthHeightMeasure/MeasureValue,ActivityDepthHeightMeasure/MeasureUnitCode,ActivityDepthAltitudeReferencePointText,ActivityTopDepthHeightMeasure/MeasureValue,ActivityTopDepthHeightMeasure/MeasureUnitCode,ActivityBottomDepthHeightMeasure/MeasureValue,ActivityBottomDepthHeightMeasure/MeasureUnitCode,ActivityConductingOrganizationText,ActivityCommentText,SampleAquifer,SampleCollectionMethod/MethodIdentifier,SampleCollectionMethod/MethodIdentifierContext,SampleCollectionMethod/MethodName,SampleCollectionEquipmentName,ResultDetectionConditionText,CharacteristicName,ResultSampleFractionText,ResultMeasureValue,ResultMeasure/MeasureUnitCode,MeasureQualifierCode,ResultStatusIdentifier,ResultValueTypeName,ResultWeightBasisText,ResultTimeBasisText,ResultTemperatureBasisText,ResultParticleSizeBasisText,ResultCommentText,ResultDepthHeightMeasure/MeasureValue,ResultDepthHeightMeasure/MeasureUnitCode,ResultDepthAltitudeReferencePointText,SampleTissueAnatomyName,ResultAnalyticalMethod/MethodIdentifier,ResultAnalyticalMethod/MethodIdentifierContext,ResultAnalyticalMethod/MethodName,AnalysisStartDate,ResultLaboratoryCommentText,DetectionQuantitationLimitMeasure/MeasureValue,DetectionQuantitationLimitMeasure/MeasureUnitCode,PreparationStartDate
nwismn.01.02100092,Sample-Routine,Water,Surface Water,2021-03-26,12:00:00,CDT,,,,,,,,,,,USGS - Minnesota Water Science Center,ID-03777A,,70,USGS parameter code 82398,Grab sample  (dip),US WBH-96 weighted-bottle sampler,,Nitrogen,Suspended,0.048,mg/l,,Accepted,Actual,,,,,,,,,,COMB7,USGS,"TPN, GF/F, combusion",2021-06-09,below the reporting level but at or above the detection level,0.03,mg/l,
nwismn.01.02100092,Sample-Routine,Water,Surface Water,2021-03-26,12:00:00,CDT,,,,,,,,,,,USGS - Minnesota Water Science Center,ID-03777A,,70,USGS parameter code 82398,Grab sample  (dip),US WBH-96 weighted-bottle sampler,,Turbidity,Total,10.0,NTRU,,Accepted,Estimated,,,,,,,,,,TS098,USGS,"HACH, sensor model 2100 AN, R-On",2021-04-05,value extrapolated at low end,2.0,NTRU,
nwismn.01.02100150,Quality Control Sample-Field Replicate,Water,Surface Water,2021-05-12,12:00:00,CDT,,,,,,,,,,,USGS - Minnesota Water Science Center,ID-04370A,,70,USGS parameter code 82398,Grab sample  (dip),US WBH-96 weighted-bottle sampler,,Phosphorus,Total,0.06,mg/l as P,,Accepted,Actual,,,,,,,,,,KJ009,USGS,"Phosphorus, wu, microKJ ASF, H+",2021-05-27,,0.02,mg/l as P,
nwismn.01.02100150,Quality Control Sample-Field Replicate,Water,Surface Water,2021-05-12,12:00:00,CDT,,,,,,,,,,,USGS - Minnesota Water Science Center,ID-04370A,,70,USGS parameter code 82398,Grab sample  (dip),US WBH-96 weighted-bottle sampler,Not Detected,Phosphorus,Dissolved,,,,Accepted,Actual,,,,,,,,,,KJ005,USGS,"P, wf, FCC, Kjeldahl, CF",2021-05-25,,0.02,mg/l as P,
nwismn.01.02100150,Quality Control Sample-Field Replicate,Water,Surface Water,2021-05-12,12:00:00,CDT,,,,,,,,,,,USGS - Minnesota Water Science Center,ID-04370A,,70,USGS parameter code 82398,Grab sample  (dip),US WBH-96 weighted-bottle sampler,,Nitrogen,Suspended,0.458,mg/l,,Accepted,Actual,,,,,,,,,,COMB7,USGS,"TPN, GF/F, combusion",2021-07-14,lab control sample (LCS) recovery outside of range or criteria,0.03,mg/l,
nwismn.01.02100150,Quality Control Sample-Field Replicate,Water,Surface Water,2021-05-12,12:00:00,CDT,,,,,,,,,,,USGS - Minnesota Water Science Center,ID-04370A,,70,USGS parameter code 82398,Grab sample  (dip),US WBH-96 weighted-bottle sampler,,Turbidity,Total,15.0,NTRU,,Accepted,Estimated,,,,,,,,,,TS098,USGS,"HACH, sensor model 2100 AN, R-On",2021-05-19,value extrapolated at low end,2.0,NTRU,
nwismn.01.02100037,Sample-Routine,Water,Surface Water,2021-01-11,12:00:00,CST,,,,,,,,,,,USGS - Minnesota Water Science Center,,,70,USGS parameter code 82398,Grab sample  (dip),US WBH-96 weighted-bottle sampler,Not Detected,Phosphorus,Total,,,,Accepted,Actual,,,,,,,,,,KJ009,USGS,"Phosphorus, wu, microKJ ASF, H+",2021-01-21,,0.02,mg/l as P,
nwismn.01.02100037,Sample-Routine,Water,Surface Water,2021-01-11,12:00:00,CST,,,,,,,,,,,USGS - Minnesota Water Science Center,,,70,USGS parameter code 82398,Grab sample  (dip),US WBH-96 weighted-bottle sampler,,Phosphorus,Dissolved,0.03,mg/l as P,,Accepted,Actual,,,,,,,,,,KJ005,USGS,"P, wf, FCC, Kjeldahl, CF",2021-01-25,below the reporting level but at or above the detection level,0.02,mg/l as P,
nwismn.01.02100037,Sample-Routine,Water,Surface Water,2021-01-11,12:00:00,CST,,,,,,,,,,,USGS - Minnesota Water Science Center,,,70,USGS parameter code 82398,Grab sample  (dip),US WBH-96 weighted-bottle sampler,,Nitrogen,Suspended,0.035,mg/l,,Accepted,Actual,,,,,,,,,,COMB7,USGS,"TPN, GF/F, combusion",2021-03-18,below the reporting level but at or above the detection level,0.03,mg/l,
nwismn.01.02100037,Sample-Routine,Water,Surface Water,2021-01-11,12:00:00,CST,,,,,,,,,,,USGS - Minnesota Water Science Center,,,70,USGS parameter code 82398,Grab sample  (dip),US WBH-96 weighted-bottle sampler,Not Detected,Turbidity,Total,,,,Accepted,Actual,,,,,,,,,,TS098,USGS,"HACH, sensor model 2100 AN, R-On",2021-01-15,,2.0,NTRU,
