Date,station_id,name,Satellite,Blue,Green,Red,NIR,SWIR1,SWIR2,RedEdge1,RedEdge2,RedEdge3,station_name
2019-03-08,5288500,Brooklyn_Park,Sentinel-2,0.3704,0.3528,0.3512,0.324,0.0696,0.0549,0.3476,0.3484,0.3335,brooklynpark
2019-03-08,5331580,Hastings,Sentinel-2,0.4132,0.4052,0.3839,0.4252,0.09,0.0839,0.5194,0.4631,0.5012,hastings
2019-03-08,5344500,Prescott,Sentinel-2,0.2348,0.293,0.2851,0.3325,0.0755,0.0709,0.4987,0.5329,0.4478,prescott
2019-03-08,5331000,St_Paul,Sentinel-2,0.5156,0.522,0.54,0.5572,0.2384,0.2136,0.5662,0.5696,0.5538,stpaul
2019-03-08,5288500,Brooklyn_Park,Sentinel-2,0.37,0.352,0.3504,0.324,0.0695,0.0548,0.3476,0.348,0.3331,brooklynpark
2019-03-08,5378500,Winona,Sentinel-2,0.4696,0.5041,0.4839,0.4743,0.0641,0.0594,0.481,0.4516,0.4223,winona
2019-03-08,5378500,Winona,Sentinel-2,0.4733,0.5096,0.4908,0.4816,0.0641,0.0593,0.4845,0.4549,0.4256,winona
2019-03-11,5288500,Brooklyn_Park,Sentinel-2,0.3925,0.4,0.3917,0.4407,0.1019,0.0897,0.4309,0.4363,0.4314,brooklynpark
2019-03-11,5331580,Hastings,Sentinel-2,0.3044,0.3496,0.3408,0.2974,0.0759,0.0729,0.4201,0.3773,0.4054,hastings
2019-03-11,5344500,Prescott,Sentinel-2,0.3256,0.3392,0.3692,0.3732,0.1014,0.0982,0.5299,0.5391,0.5323,prescott
2019-03-11,5331000,St_Paul,Sentinel-2,0.3283,0.3463,0.3389,0.352,0.0668,0.0637,0.4738,0.4889,0.4533,stpaul
2019-03-11,5288500,Brooklyn_Park,Sentinel-2,0.3928,0.3993,0.3913,0.4398,0.1017,0.0896,0.4295,0.435,0.4305,brooklynpark
2019-03-16,5288500,Brooklyn_Park,Sentinel-2,0.3275,0.3334,0.3402,0.359,0.0844,0.0705,0.3195,0.3405,0.3287,brooklynpark
2019-03-16,5331580,Hastings,Sentinel-2,0.2284,0.2232,0.2048,0.2192,0.0797,0.0728,0.2878,0.2568,0.2217,hastings
2019-03-16,5344500,Prescott,Sentinel-2,0.1686,0.1838,0.2128,0.2326,0.1078,0.1038,0.2744,0.2892,0.2824,prescott
2019-03-16,5288500,Brooklyn_Park,Sentinel-2,0.3308,0.3354,0.342,0.3603,0.085,0.071,0.3228,0.3447,0.3337,brooklynpark
