date,water_temp_f,water_temp_c
2019-01-01,32.0,0.0
2019-01-02,32.0,0.0
2019-01-03,32.0,0.0
2019-01-04,32.0,0.0
2019-01-05,32.0,0.0
2019-01-06,32.0,0.0
2019-01-07,32.0,0.0
2019-01-08,32.0,0.0
2019-01-09,32.0,0.0
2019-01-10,32.0,0.0
2019-01-11,32.0,0.0
2019-01-12,32.0,0.0
2019-01-13,32.0,0.0
2019-01-14,32.0,0.0
2019-01-15,32.0,0.0
2019-01-16,32.0,0.0
2019-01-17,32.0,0.0
2019-01-18,32.0,0.0
2019-01-19,32.0,0.0
2019-01-20,32.0,0.0
2019-01-21,32.0,0.0
2019-01-22,32.0,0.0
2019-01-23,32.0,0.0
2019-01-24,32.0,0.0
2019-01-25,32.0,0.0
2019-01-26,32.0,0.0
2019-01-27,32.0,0.0
2019-01-28,32.0,0.0
2019-01-29,32.0,0.0
2019-01-30,32.0,0.0
2019-01-31,32.0,0.0
2019-02-01,32.0,0.0
2019-02-02,32.0,0.0
2019-02-03,32.0,0.0
2019-02-04,32.0,0.0
2019-02-05,32.0,0.0
2019-02-06,32.0,0.0
2019-02-07,32.0,0.0
2019-02-08,32.0,0.0
2019-02-09,32.0,0.0
2019-02-10,32.0,0.0
2019-02-11,32.0,0.0
2019-02-12,32.0,0.0
2019-02-13,32.0,0.0
2019-02-14,32.0,0.0
2019-02-15,32.0,0.0
2019-02-16,32.0,0.0
2019-02-17,32.0,0.0
2019-02-18,32.0,0.0
2019-02-19,32.0,0.0
2019-02-20,32.0,0.0
2019-02-21,32.0,0.0
2019-02-22,32.0,0.0
2019-02-23,32.0,0.0
2019-02-24,32.0,0.0
2019-02-25,32.0,0.0
2019-02-26,32.0,0.0
2019-02-27,32.0,0.0
2019-02-28,32.0,0.0
2019-03-01,32.0,0.0
2019-03-02,32.0,0.0
2019-03-03,32.0,0.0
2019-03-04,32.0,0.0
2019-03-05,32.0,0.0
2019-03-06,32.0,0.0
2019-03-07,32.0,0.0
2019-03-08,32.0,0.0
2019-03-09,32.0,0.0
2019-03-10,32.0,0.0
2019-03-11,32.0,0.0
2019-03-12,32.0,0.0
2019-03-13,32.0,0.0
2019-03-14,33.0,0.5555555555555556
2019-03-15,33.0,0.5555555555555556
2019-03-16,33.0,0.5555555555555556
2019-03-17,32.0,0.0
2019-03-18,32.0,0.0
2019-03-19,33.0,0.5555555555555556
2019-03-20,33.0,0.5555555555555556
2019-03-21,33.0,0.5555555555555556
2019-03-22,34.0,1.1111111111111112
2019-03-23,34.0,1.1111111111111112
2019-03-24,34.0,1.1111111111111112
2019-03-25,34.0,1.1111111111111112
2019-03-26,34.0,1.1111111111111112
2019-03-27,36.0,2.2222222222222223
2019-03-28,38.0,3.3333333333333335
2019-03-29,38.0,3.3333333333333335
2019-03-30,39.0,3.888888888888889
2019-03-31,38.0,3.3333333333333335
2019-04-01,39.0,3.888888888888889
2019-04-02,39.0,3.888888888888889
2019-04-03,39.0,3.888888888888889
2019-04-04,40.0,4.444444444444445
2019-04-05,40.0,4.444444444444445
2019-04-06,40.0,4.444444444444445
2019-04-07,41.0,5.0
2019-04-08,42.0,5.555555555555555
2019-04-09,43.0,6.111111111111111
2019-04-10,43.0,6.111111111111111
2019-04-11,41.0,5.0
2019-04-12,40.0,4.444444444444445
2019-04-13,39.0,3.888888888888889
2019-04-14,39.0,3.888888888888889
2019-04-15,41.0,5.0
2019-04-16,42.0,5.555555555555555
2019-04-17,44.0,6.666666666666667
2019-04-18,44.0,6.666666666666667
2019-04-19,44.0,6.666666666666667
